query,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
M,GO_Biological_Process_2023,Proton Transmembrane Transport (GO:1902600),2/49,0.002448238177796,0.0348513905309795,0,0,30.278115501519757,182.0437366477304,ATP6V1A;ATP1B1
M,GO_Biological_Process_2023,Cytoplasmic Microtubule Organization (GO:0031122),2/48,0.0023504954789734,0.0348513905309795,0,0,30.937888198757765,187.27103230547277,TUBGCP2;TUBGCP3
M,GO_Biological_Process_2023,Fatty Acid Beta-Oxidation (GO:0006635),2/49,0.002448238177796,0.0348513905309795,0,0,30.278115501519757,182.0437366477304,ETFA;ACADM
N,KEGG_2021_Human,mRNA surveillance pathway,3/98,4.973398784662548e-05,0.0004984287776497816,0,0,52.3421052631579,518.6486040790877,UPF1;PABPC4;PABPC1
N,KEGG_2021_Human,Ribosome biogenesis in eukaryotes,3/108,6.645717035330421e-05,0.0004984287776497816,0,0,47.333333333333336,455.2971026379341,RBM28;CSNK2A2;CSNK2B
N,GO_Biological_Process_2023,Positive Regulation Of mRNA Catabolic Process (GO:0061014),3/45,4.751994712973718e-06,0.0005347930930294976,0,0,118.70833333333331,1455.001641921672,UPF1;MOV10;PABPC1
N,GO_Biological_Process_2023,Regulation Of Stress Granule Assembly (GO:0062028),2/5,5.243069539504879e-06,0.0005347930930294976,0,0,1024.7179487179487,12459.139177497858,G3BP1;G3BP2
N,Reactome_2022,WNT Mediated Activation Of DVL R-HSA-201688,2/6,7.861232298160098e-06,0.0008475522897702113,0,0,768.5,9032.616380039904,CSNK2A2;CSNK2B
N,Reactome_2022,Receptor Mediated Mitophagy R-HSA-8934903,2/10,2.354311916028365e-05,0.0008475522897702113,0,0,384.1730769230769,4094.008377584964,CSNK2A2;CSNK2B
N,Reactome_2022,Condensation Of Prometaphase Chromosomes R-HSA-2514853,2/10,2.354311916028365e-05,0.0008475522897702113,0,0,384.1730769230769,4094.008377584964,CSNK2A2;CSNK2B
N,Reactome_2022,Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,3/92,4.1174589604502675e-05,0.0011117139193215,0,0,55.8876404494382,564.3360261212877,UPF1;RPL36;PABPC1
N,Reactome_2022,SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671,3/121,9.319637507124311e-05,0.0013361726299924,0,0,42.09110169491525,390.63916947468584,LARP1;G3BP1;G3BP2
N,Reactome_2022,Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,3/112,7.405932091693343e-05,0.0013361726299924,0,0,45.58715596330275,433.5632182634285,UPF1;RPL36;PABPC1
N,Reactome_2022,Metabolism Of RNA R-HSA-8953854,5/666,9.173813273288422e-05,0.0013361726299924,0,0,14.617246596066568,135.89029160380886,RBM28;UPF1;RPL36;PABPC1;RRP9
N,Reactome_2022,Signal Transduction By L1 R-HSA-445144,2/20,9.897575036981038e-05,0.0013361726299924,0,0,170.65811965811966,1573.5763478145914,CSNK2A2;CSNK2B
N,KEGG_2021_Human,RNA transport,3/186,0.00033163954022454316,0.0016581977011227,0,0,27.05191256830601,216.7253668925024,UPF1;PABPC4;PABPC1
N,Reactome_2022,PTEN Regulation R-HSA-6807070,3/139,0.0001405976372076192,0.0016871716464914,0,0,36.487132352941174,323.6265750183081,MOV10;CSNK2A2;CSNK2B
N,Reactome_2022,Synthesis Of PC R-HSA-1483191,2/27,0.0001822918418919162,0.0019266155889942,0,0,122.83076923076923,1057.5608400035376,CSNK2A2;CSNK2B
N,Reactome_2022,Mitophagy R-HSA-5205647,2/28,0.00019622936554570855,0.0019266155889942,0,0,118.10059171597634,1008.1333830209776,CSNK2A2;CSNK2B
N,GO_Biological_Process_2023,Positive Regulation Of mRNA Metabolic Process (GO:1903313),2/12,3.450012056424365e-05,0.0023460081983685,0,0,307.3076923076923,3157.447555274819,MOV10;UPF1
N,Reactome_2022,Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226,3/179,0.0002963333988663209,0.0025024774834353,0,0,28.13778409090909,228.59207237210447,RBM28;RPL36;RRP9
N,Reactome_2022,RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243,2/35,0.0003079452853975245,0.0025024774834353,0,0,93.01631701631702,752.0916571878076,CSNK2A2;CSNK2B
N,Reactome_2022,Cooperation Of PDCL (PhLP1) And TRiC/CCT In G-protein Beta Folding R-HSA-6814122,2/37,0.00034439345847537867,0.0025024774834353,0,0,87.6923076923077,699.2344145157014,CSNK2A2;CSNK2B
N,Reactome_2022,rRNA Processing In Nucleus And Cytosol R-HSA-8868773,3/189,0.00034756631714380156,0.0025024774834353,0,0,26.611559139784948,211.94922827976964,RBM28;RPL36;RRP9
N,Reactome_2022,SARS-CoV-2-host Interactions R-HSA-9705683,3/196,0.0003866323526781014,0.002567897337383,0,0,25.637305699481864,201.4588790654014,LARP1;G3BP1;G3BP2
N,Reactome_2022,rRNA Processing R-HSA-72312,3/199,0.00040420606236584686,0.002567897337383,0,0,25.241071428571427,197.22327614704855,RBM28;RPL36;RRP9
N,Reactome_2022,Transcriptional Regulation By RUNX1 R-HSA-8878171,3/204,0.0004346270790718155,0.0026077624744308,0,0,24.606965174129353,190.4830632950432,MOV10;CSNK2A2;CSNK2B
N,Reactome_2022,Axon Guidance R-HSA-422475,4/519,0.0004872302912682473,0.0027695195503668,0,0,13.74757281553398,104.84962636637344,CSNK2A2;CSNK2B;RPL36;PABPC1
N,GO_Biological_Process_2023,3'-UTR-mediated mRNA Destabilization (GO:0061158),2/15,5.481548088819789e-05,0.002795589525298,0,0,236.3550295857988,2319.006332041941,UPF1;MOV10
N,Reactome_2022,Nervous System Development R-HSA-9675108,4/545,0.0005859519340880678,0.0031641404440755,0,0,13.06940010082339,97.2660408237569,CSNK2A2;CSNK2B;RPL36;PABPC1
N,KEGG_2021_Human,Adherens junction,2/71,0.0012662395991897,0.0037987187975691,0,0,44.405797101449274,296.26232154713927,CSNK2A2;CSNK2B
N,KEGG_2021_Human,Mitophagy,2/68,0.0011622701959248,0.0037987187975691,0,0,46.43123543123543,313.75350729506465,CSNK2A2;CSNK2B
N,KEGG_2021_Human,RNA degradation,2/79,0.0015645072954225,0.0039112682385563,0,0,39.77622377622377,256.96173761592104,PABPC4;PABPC1
N,KEGG_2021_Human,PD-L1 expression and PD-1 checkpoint pathway in cancer,2/89,0.0019799274273914,0.0042427016301244,0,0,35.18656056587091,219.02561071025187,CSNK2A2;CSNK2B
N,Reactome_2022,PIP3 Activates AKT Signaling R-HSA-1257604,3/268,0.0009607929175849862,0.0047166197772353,0,0,18.60377358490566,129.2543987807192,MOV10;CSNK2A2;CSNK2B
N,Reactome_2022,Selective Autophagy R-HSA-9663891,2/61,0.0009365269021087002,0.0047166197772353,0,0,51.958279009126464,362.32234580030286,CSNK2A2;CSNK2B
N,KEGG_2021_Human,NF-kappa B signaling pathway,2/104,0.0026904731962057,0.0050446372428857,0,0,29.9894419306184,177.47866268622553,CSNK2A2;CSNK2B
N,Reactome_2022,SARS-CoV-2 Infection R-HSA-9694516,3/283,0.0011243576450843,0.0050785835620927,0,0,17.59375,119.47112274222096,LARP1;G3BP1;G3BP2
N,Reactome_2022,Regulation Of PTEN Stability And Activity R-HSA-8948751,2/67,0.0011285741249095,0.0050785835620927,0,0,47.14792899408284,319.9835776705031,CSNK2A2;CSNK2B
N,Reactome_2022,Signaling By WNT R-HSA-195721,3/294,0.0012548867601746,0.0054211108039544,0,0,16.919243986254294,113.03256150004265,MOV10;CSNK2A2;CSNK2B
N,Reactome_2022,Intracellular Signaling By Second Messengers R-HSA-9006925,3/306,0.0014078276019998,0.0058478992698456,0,0,16.239273927392738,106.62232214064892,MOV10;CSNK2A2;CSNK2B
N,GO_Biological_Process_2023,Stress Granule Assembly (GO:0034063),2/24,0.00014352676264691865,0.0058558919159942,0,0,139.6013986013986,1235.3312463141472,G3BP1;G3BP2
N,GO_Biological_Process_2023,Positive Regulation Of Viral Genome Replication (GO:0045070),2/29,0.00021067369304735427,0.0061396333402371,0,0,113.72079772079772,962.6693082346336,LARP1;PABPC1
N,GO_Biological_Process_2023,RNA-mediated Gene Silencing (GO:0031047),2/29,0.00021067369304735427,0.0061396333402371,0,0,113.72079772079772,962.6693082346336,MOV10;PABPC1
N,Reactome_2022,Cellular Responses To Stress R-HSA-2262752,4/722,0.0016721927646367,0.0066887710585471,0,0,9.757913395796404,62.38838518235258,MOV10;CSNK2A2;CSNK2B;RPL36
N,Reactome_2022,Cellular Responses To Stimuli R-HSA-8953897,4/736,0.0017947249786204,0.0069225106318219,0,0,9.564331843020367,60.47434713268848,MOV10;CSNK2A2;CSNK2B;RPL36
N,Reactome_2022,Chaperonin-mediated Protein Folding R-HSA-390466,2/90,0.0020240497909955,0.0072865792475839,0,0,34.78496503496503,215.75913477931095,CSNK2A2;CSNK2B
N,Reactome_2022,Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756,2/90,0.0020240497909955,0.0072865792475839,0,0,34.78496503496503,215.75913477931095,CSNK2A2;CSNK2B
N,Reactome_2022,Transcriptional Regulation By TP53 R-HSA-3700989,3/354,0.0021358186654502,0.0074409166409232,0,0,13.984330484330483,85.98832321590277,MOV10;CSNK2A2;CSNK2B
